Variables;model;params;f1_macro;f1_weighted;f1_noise;f1_physio;f1_twave
3;svm;{'C': 0.1, 'kernel': 'linear'};0.32654871642382793;0.3862937127251236;0.02711864406779661;0.3333333333333333;0.6846491228070175
2;svm;{'C': 1, 'kernel': 'rbf'};0.3222155528878218;0.38511872710249145;0.16666666666666666;0.375;0.44579831932773106
2;knn;{'n_neighbors': 2, 'p': 2};0.31955227035008577;0.41383149605601405;0.05823754789272031;0.34375;0.6986024844720496
0;svm;{'C': 10, 'kernel': 'poly'};0.317863125399043;0.37722994664150084;0.17204301075268816;0.36764705882352944;0.41941391941391937
3;knn;{'n_neighbors': 1, 'p': 1};0.31760443677736916;0.3854008703092578;0.07953216374269005;0.34090909090909094;0.6645989974937343
3;svm;{'C': 1, 'kernel': 'rbf'};0.3130998480897061;0.3989651120108592;0.19425287356321838;0.29545454545454547;0.5430035650623886
3;rf;{'criterion': 'gini', 'min_samples_leaf': 2};0.3127024506996755;0.3840754167481038;0.0425531914893617;0.25;0.7384963768115942
3;rf;{'criterion': 'entropy', 'min_samples_leaf': 2};0.3127024506996755;0.3840754167481038;0.0425531914893617;0.25;0.7384963768115942
2;knn;{'n_neighbors': 3, 'p': 1};0.3124939137209076;0.3785863192736741;0.026666666666666665;0.25;0.6947597137014316
0;rf;{'criterion': 'entropy', 'min_samples_leaf': 2};0.31165532879818597;0.39700612024745174;0.07619047619047618;0.375;0.665952380952381
3;knn;{'n_neighbors': 1, 'p': 2};0.3116024187452759;0.3788044429149619;0.073015873015873;0.3333333333333333;0.6488095238095237
3;knn;{'n_neighbors': 3, 'p': 1};0.3101835053696173;0.3684171750822221;0.024;0.25;0.6859634031904911
2;knn;{'n_neighbors': 3, 'p': 2};0.30993397858893684;0.3763657501544452;0.013793103448275862;0.25;0.6974120082815736
1;knn;{'n_neighbors': 2, 'p': 2};0.3089624405484333;0.43646327552820907;0.26995073891625615;0.32291666666666663;0.4616977225672878
0;knn;{'n_neighbors': 3, 'p': 2};0.3084809455777198;0.37203916242438007;0.025806451612903226;0.25;0.6747668997668999
2;rf;{'criterion': 'gini', 'min_samples_leaf': 2};0.30804909376337947;0.39329062061378295;0.10476190476190476;0.25;0.7363053613053613
2;rf;{'criterion': 'entropy', 'min_samples_leaf': 2};0.30804909376337947;0.39329062061378295;0.10476190476190476;0.25;0.7363053613053613
0;svm;{'C': 1, 'kernel': 'linear'};0.30656559870673744;0.40845106665613745;0.15517241379310345;0.4375;0.41550387596899224
1;knn;{'n_neighbors': 3, 'p': 2};0.3058835451548002;0.4108444415360416;0.16666666666666666;0.25;0.5475552787293678
0;rf;{'criterion': 'gini', 'min_samples_leaf': 5};0.3041339612768184;0.3814231692178987;0.015384615384615385;0.25;0.7274725274725273
0;rf;{'criterion': 'gini', 'min_samples_leaf': 2};0.3026387948968594;0.38812457667954064;0.06153846153846154;0.34090909090909094;0.6710215053763441
3;rf;{'criterion': 'entropy', 'min_samples_leaf': 5};0.3000089571518143;0.37392319084413395;0.010256410256410256;0.25;0.7122265122265121
3;rf;{'criterion': 'gini', 'min_samples_leaf': 5};0.3000089571518143;0.37392319084413395;0.010256410256410256;0.25;0.7122265122265121
0;rf;{'criterion': 'entropy', 'min_samples_leaf': 5};0.29905716672633964;0.37571622074140504;0.0;0.25;0.7200501253132832
3;svm;{'C': 1, 'kernel': 'linear'};0.2974524170750863;0.3971242382809765;0.11632653061224489;0.3;0.5537170263788969
1;svm;{'C': 1, 'kernel': 'poly'};0.2971182675968938;0.39892160043981;0.2;0.25;0.45987090488369264
3;svm;{'C': 1, 'kernel': 'sigmoid'};0.2964665286404417;0.3655968820622381;0.057333333333333326;0.2857142857142857;0.5990683229813665
0;svm;{'C': 10, 'kernel': 'sigmoid'};0.29490265534221577;0.38082364367971966;0.26857142857142857;0.41666666666666663;0.2958579881656805
2;rf;{'criterion': 'entropy', 'min_samples_leaf': 5};0.2890146361574933;0.36091655608992645;0.032;0.25;0.6648268398268398
3;svm;{'C': 1, 'kernel': 'poly'};0.28233315490484784;0.3297062238899624;0.03404255319148936;0.34090909090909094;0.5362867808519982
2;rf;{'criterion': 'gini', 'min_samples_leaf': 5};0.2813955885384457;0.3558125338985256;0.0;0.25;0.6648268398268398
3;svm;{'C': 10, 'kernel': 'poly'};0.2802156629602282;0.3527028039440978;0.10358974358974357;0.34090909090909094;0.5007359601449275
0;knn;{'n_neighbors': 3, 'p': 1};0.27973407544836115;0.349843039069114;0.022857142857142857;0.25;0.6275324675324675
1;rf;{'criterion': 'entropy', 'min_samples_leaf': 5};0.27539352077167206;0.34997240390077133;0.032432432432432434;0.25;0.5552754435107377
3;svm;{'C': 10, 'kernel': 'rbf'};0.2693913793607244;0.34204834506773274;0.10291595197255574;0.25;0.5356598016781082
