id_subject,id_segment,id_error,idt,t,id_BayeSlope,signal,Amplitude,A_pre,A_pre_ratio,A_post,A_post_ratio,Width,W_pre,W_pre_ratio,W_post,W_post_ratio,RR_pre,RR_post,RR_ratio,consecutive_errors,Isolated,error_class_label,A_pre_ratio_log,A_post_ratio_log,W_pre_ratio_log,W_post_ratio_log,RR_ratio_log
2,1,0,1630,934.8504063011584,19,153,131,124.0,1.0564516129032258,141.0,0.9290780141843972,30,15.0,2.0,16.0,1.875,118.0,127.0,1.076271186440678,1,1,T-wave,0.05491575759611463,-0.07356256717701673,0.6931471805599453,0.6286086594223741,0.07350246199292652
2,1,1,1822,935.6184082779922,21,64,74,141.0,0.524822695035461,49.0,1.510204081632653,14,16.0,0.875,28.0,0.5,65.0,59.0,0.9076923076923076,1,0,Noise,-0.6446947971739986,0.41224479509354306,-0.13353139262452263,-0.6931471805599453,-0.09684982598991779
2,1,2,1881,935.8544088854568,22,68,49,74.0,0.6621621621621622,80.0,0.6125,28,14.0,2.0,27.0,1.037037037037037,59.0,82.0,1.3898305084745763,2,0,T-wave,-0.4122447950935431,-0.4902063365632549,0.6931471805599453,0.03636764417087479,0.3291818033585337
2,1,3,1963,936.1824097297298,23,93,80,49.0,1.6326530612244898,98.0,0.8163265306122449,27,28.0,0.9642857142857144,20.0,1.35,82.0,80.0,0.975609756097561,3,0,T-wave,0.490206336563255,-0.2029408439966903,-0.036367644170874715,0.30010459245033816,-0.02469261259037152
2,1,4,2043,936.5024105534104,24,93,98,80.0,1.225,101.0,0.9702970297029704,20,27.0,0.7407407407407407,24.0,0.8333333333333334,80.0,122.0,1.525,4,0,T-wave,0.20294084399669038,-0.030153038170687443,-0.30010459245033816,-0.1823215567939546,0.4219944100593749
2,1,5,2801,939.5344183577864,33,90,102,108.0,0.9444444444444444,101.0,1.00990099009901,18,20.0,0.9,15.0,1.2,66.0,97.0,1.4696969696969695,1,1,Noise,-0.05715841383994864,0.00985229644301164,-0.10536051565782628,0.1823215567939546,0.38505623647695714
2,1,6,4269,945.4064334723296,51,75,112,172.0,0.6511627906976745,333.0,0.3363363363363363,11,17.0,0.6470588235294118,30.0,0.3666666666666666,64.0,60.0,0.9375,1,0,Noise,-0.4289956055183584,-1.0896436186853493,-0.4353180712578455,-1.003302108863785,-0.06453852113757118
2,1,7,4329,945.64643409009,52,381,333,112.0,2.9732142857142856,217.0,1.5345622119815667,30,11.0,2.727272727272727,15.0,2.0,60.0,123.0,2.05,2,0,T-wave,1.0896436186853493,0.42824513643998424,1.0033021088637848,0.6931471805599453,0.7178397931503168
2,3,0,1621,1320.4913989395109,21,124,107,40.0,2.675,71.0,1.5070422535211268,10,25.0,0.4,15.0,0.6666666666666666,64.0,89.0,1.390625,1,1,Noise,0.9839493803479697,0.41014895742059077,-0.916290731874155,-0.40546510810816444,0.329753286372468
2,3,1,2114,1322.463404015444,27,132,107,62.0,1.7258064516129032,74.0,1.445945945945946,29,17.0,1.7058823529411764,19.0,1.5263157894736843,105.0,71.0,0.6761904761904762,1,0,T-wave,0.5456944494168147,0.3687637412577365,0.5340824859302579,0.4228568508200336,-0.3912804731162079
2,3,2,2185,1322.7474047464607,28,48,74,107.0,0.6915887850467289,144.0,0.5138888888888888,19,29.0,0.6551724137931034,19.0,1.0,71.0,98.0,1.380281690140845,2,0,Noise,-0.3687637412577365,-0.665748206371831,-0.4228568508200336,0.0,0.32228760162925646
2,3,3,2283,1323.1394057554696,29,135,144,74.0,1.945945945945946,44.0,3.272727272727273,19,19.0,1.0,7.0,2.7142857142857144,98.0,69.0,0.7040816326530612,3,0,Noise,0.665748206371831,1.1856236656577395,0.0,0.9985288301111273,-0.3508609740733125
2,3,4,2352,1323.4154064658944,30,65,44,144.0,0.3055555555555556,198.0,0.2222222222222222,7,19.0,0.3684210526315789,27.0,0.2592592592592592,69.0,65.0,0.9420289855072465,4,0,Noise,-1.1856236656577395,-1.5040773967762742,-0.9985288301111273,-1.3499267169490161,-0.059719234701622194
2,3,5,2417,1323.6754071351352,31,220,198,44.0,4.5,77.0,2.571428571428572,27,7.0,3.857142857142857,12.0,2.25,65.0,87.0,1.3384615384615384,5,0,Noise,1.5040773967762742,0.9444616088408516,1.349926716949016,0.8109302162163288,0.2915208487589465
2,3,6,2504,1324.023408030888,32,83,77,198.0,0.3888888888888889,314.0,0.2452229299363057,12,27.0,0.4444444444444444,20.0,0.6,87.0,66.0,0.7586206896551724,6,0,Noise,-0.9444616088408514,-1.4055875640545696,-0.8109302162163288,-0.5108256237659907,-0.27625337662815824
2,3,7,2570,1324.2874087104246,33,363,314,77.0,4.077922077922078,58.0,5.413793103448276,20,12.0,1.6666666666666667,30.0,0.6666666666666666,66.0,74.0,1.121212121212121,7,0,Noise,1.4055875640545694,1.688949975361834,0.5108256237659907,-0.40546510810816444,0.11441035117774412
2,3,8,2644,1324.583409472329,34,76,58,314.0,0.1847133757961783,120.0,0.4833333333333333,30,20.0,1.5,30.0,1.0,74.0,71.0,0.9594594594594594,8,0,Noise,-1.6889499753618342,-0.7270487322356267,0.4054651081081644,0.0,-0.041385216162854364
2,3,9,2715,1324.867410203346,35,147,120,58.0,2.0689655172413794,90.0,1.3333333333333333,30,30.0,1.0,12.0,2.5,71.0,65.0,0.9154929577464788,9,0,Noise,0.7270487322356267,0.28768207245178085,0.0,0.9162907318741551,-0.08829260714567844
2,3,10,2780,1325.1274108725868,36,73,90,120.0,0.75,48.0,1.875,12,30.0,0.4,13.0,0.9230769230769232,65.0,67.0,1.0307692307692309,10,0,Noise,-0.2876820724517809,0.6286086594223741,-0.916290731874155,-0.08004270767353625,0.030305349495329058
2,3,11,2847,1325.3954115624194,37,33,48,90.0,0.5333333333333333,123.0,0.3902439024390244,13,12.0,1.0833333333333333,30.0,0.4333333333333333,67.0,84.0,1.2537313432835822,11,0,Noise,-0.6286086594223742,-0.9409833444645266,0.08004270767353636,-0.8362480242006187,0.2261241794523476
2,3,12,2931,1325.7314124272843,38,139,123,48.0,2.5625,143.0,0.8601398601398601,30,13.0,2.3076923076923075,30.0,1.0,84.0,77.0,0.9166666666666666,12,0,Noise,0.9409833444645266,-0.15066027488748984,0.8362480242006185,0.0,-0.08701137698962981
2,3,13,3008,1326.039413220077,39,149,143,123.0,1.1626016260162602,72.0,1.9861111111111112,30,30.0,1.0,29.0,1.0344827586206895,77.0,78.0,1.0129870129870129,13,0,Noise,0.1506602748874898,0.686178511243852,0.0,0.0339015516756812,0.012903404835907782
2,3,14,3086,1326.351414023166,40,73,72,143.0,0.5034965034965035,87.0,0.8275862068965517,29,30.0,0.9666666666666668,27.0,1.0740740740740742,78.0,73.0,0.935897435897436,14,0,T-wave,-0.6861785112438519,-0.18924199963852842,-0.03390155167568123,0.07145896398214505,-0.06624938554120048
2,3,15,3159,1326.6434147747748,41,160,87,72.0,1.2083333333333333,132.0,0.6590909090909091,27,29.0,0.9310344827586208,29.0,0.9310344827586208,73.0,76.0,1.0410958904109588,15,0,T-wave,0.18924199963852834,-0.41689380393178715,-0.07145896398214487,-0.07145896398214487,0.0402738991379399
2,3,16,3235,1326.9474155572714,42,162,132,87.0,1.5172413793103448,59.0,2.23728813559322,29,27.0,1.0740740740740742,30.0,0.9666666666666668,76.0,77.0,1.013157894736842,16,0,T-wave,0.4168938039317871,0.8052644786806513,0.07145896398214505,-0.03390155167568123,0.0130720815673527
2,3,17,3312,1327.2554163500645,43,67,59,132.0,0.4469696969696969,191.0,0.3089005235602094,30,29.0,1.0344827586206895,30.0,1.0,77.0,67.0,0.8701298701298701,17,0,T-wave,-0.8052644786806515,-1.1747359841409104,0.0339015516756812,0.0,-0.13911280246271784
2,3,18,3379,1327.523417039897,44,127,191,59.0,3.23728813559322,35.0,5.457142857142857,30,30.0,1.0,13.0,2.3076923076923075,67.0,65.0,0.9701492537313432,18,0,Noise,1.1747359841409104,1.6969253665572162,0.0,0.8362480242006185,-0.030305349495329037
2,3,19,3444,1327.7834177091377,45,32,35,191.0,0.1832460732984293,99.0,0.3535353535353535,13,30.0,0.4333333333333333,25.0,0.52,65.0,92.0,1.4153846153846157,19,0,Noise,-1.6969253665572164,-1.0397717886451765,-0.8362480242006187,-0.6539264674066639,0.3474013071534034
2,3,20,3536,1328.1514186563704,46,128,99,35.0,2.8285714285714287,50.0,1.98,25,13.0,1.9230769230769231,11.0,2.272727272727273,92.0,86.0,0.9347826086956522,20,0,T-wave,1.0397717886451763,0.6830968447064438,0.653926467406664,0.8209805520698303,-0.06744128079553253
2,3,21,3622,1328.4954195418277,47,57,50,99.0,0.5050505050505051,129.0,0.3875968992248062,11,25.0,0.44,17.0,0.6470588235294118,86.0,64.0,0.7441860465116279,21,0,Noise,-0.6830968447064438,-0.947789398933526,-0.8209805520698302,-0.4353180712578455,-0.2954642128938359
2,3,22,3686,1328.751420200772,48,158,129,50.0,2.58,75.0,1.72,17,11.0,1.5454545454545454,30.0,0.5666666666666667,64.0,67.0,1.046875,22,0,Noise,0.9477893989335261,0.5423242908253617,0.4353180712578455,-0.5679840376059393,0.0458095360312942
2,3,23,3753,1329.0194208906048,49,77,75,129.0,0.5813953488372093,67.0,1.1194029850746268,30,17.0,1.7647058823529411,19.0,1.5789473684210529,67.0,72.0,1.0746268656716418,23,0,Noise,-0.5423242908253616,0.11279549414534429,0.5679840376059393,0.4567584024957151,0.07197349962508924
2,3,24,3825,1329.3074216319176,50,31,67,75.0,0.8933333333333333,82.0,0.8170731707317073,19,30.0,0.6333333333333333,30.0,0.6333333333333333,72.0,84.0,1.1666666666666667,24,0,Noise,-0.1127954941453444,-0.20202662787328712,-0.456758402495715,-0.456758402495715,0.15415067982725836
2,3,25,3909,1329.6434224967825,51,95,82,67.0,1.2238805970149254,186.0,0.4408602150537634,30,19.0,1.5789473684210529,30.0,1.0,84.0,72.0,0.8571428571428571,25,0,T-wave,0.20202662787328704,-0.8190274264489482,0.4567584024957151,0.0,-0.15415067982725836
2,3,26,3981,1329.9314232380952,52,224,186,82.0,2.268292682926829,222.0,0.8378378378378378,30,30.0,1.0,30.0,1.0,72.0,78.0,1.0833333333333333,26,0,T-wave,0.819027426448948,-0.17693070815907821,0.0,0.0,0.08004270767353636
2,3,27,4059,1330.243424041184,53,266,222,186.0,1.1935483870967742,122.0,1.819672131147541,30,30.0,1.0,14.0,2.142857142857143,78.0,112.0,1.435897435897436,27,0,T-wave,0.17693070815907824,0.5986563371390229,0.0,0.7621400520468967,0.3617900446055028
2,3,28,4274,1331.1034262548262,55,100,89,122.0,0.7295081967213115,100.0,0.89,30,14.0,2.142857142857143,30.0,1.0,103.0,75.0,0.7281553398058253,1,0,T-wave,-0.31538467500111667,-0.11653381625595151,0.7621400520468967,0.0,-0.3172408746933253
2,3,29,4349,1331.403427027027,56,90,100,89.0,1.1235955056179776,96.0,1.0416666666666667,30,30.0,1.0,18.0,1.6666666666666667,75.0,69.0,0.92,2,0,T-wave,0.1165338162559516,0.0408219945202552,0.0,0.5108256237659907,-0.08338160893905101
2,3,30,4418,1331.6794277374515,57,56,96,100.0,0.96,95.0,1.0105263157894735,18,30.0,0.6,26.0,0.6923076923076923,69.0,83.0,1.2028985507246377,3,0,Noise,-0.040821994520255166,0.010471299867295216,-0.5108256237659907,-0.3677247801253174,0.18473410319933856
2,3,31,4501,1332.0114285920206,58,116,95,96.0,0.9895833333333334,71.0,1.3380281690140845,26,18.0,1.4444444444444444,30.0,0.8666666666666667,83.0,78.0,0.9397590361445785,4,0,T-wave,-0.010471299867295366,0.2911970145592254,0.36772478012531734,-0.1431008436406733,-0.06213178110700604
2,3,32,4579,1332.323429395109,59,107,71,95.0,0.7473684210526316,171.0,0.4152046783625731,30,26.0,1.1538461538461535,30.0,1.0,78.0,73.0,0.935897435897436,5,0,T-wave,-0.2911970145592254,-0.8789836794613445,0.14310084364067305,0.0,-0.06624938554120048
2,3,33,4652,1332.6154301467182,60,177,171,71.0,2.408450704225352,119.0,1.4369747899159664,30,30.0,1.0,29.0,1.0344827586206895,73.0,73.0,1.0,6,0,T-wave,0.8789836794613444,0.3625400633911305,0.0,0.0339015516756812,0.0
2,3,34,4725,1332.9074308983268,61,125,119,171.0,0.695906432748538,191.0,0.6230366492146597,29,30.0,0.9666666666666668,28.0,1.0357142857142858,73.0,76.0,1.0410958904109588,7,0,T-wave,-0.36254006339113043,-0.47314993493510044,-0.03390155167568123,0.03509131981127019,0.0402738991379399
2,3,35,4801,1333.2114316808236,62,223,191,119.0,1.6050420168067228,171.0,1.1169590643274854,28,29.0,0.9655172413793104,26.0,1.0769230769230769,76.0,75.0,0.986842105263158,8,0,T-wave,0.47314993493510055,0.11060987154397002,-0.03509131981127006,0.07410797215372183,-0.013245226750020567
